"methods" "abil" "avgProbs" "accuracy"
"38" "lvq_3" 1.8443 0.8708 0.88
"43" "svmRadialCost_C1" 1.8443 0.8708 0.88
"44" "svmRadialCost_C2" 1.8443 0.8708 0.88
"73" "bagFDA_prune16" 1.8443 0.8708 0.88
"107" "knn_k9" 1.8443 0.8708 0.88
"111" "Ibk_k5" 1.8443 0.8708 0.88
"113" "Ibk_k9" 1.8443 0.8708 0.88
"30" "mlp_5" 2.2388 0.8771 0.875
"29" "mlp_3" 2.2593 0.8774 0.875
"31" "mlp_7" 2.2593 0.8774 0.875
"32" "mlp_9" 2.2593 0.8774 0.875
"33" "avNNet_decay1e04" 2.2815 0.8777 0.88
"35" "avNNet_decay0" 2.2815 0.8777 0.88
